a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.46-1
acl 2.2.52-4
acpi 1.7-2
acpid 2.0.28-1
adapta-maia-theme 3.93.0.244-1
adwaita-icon-theme 3.28.0-1
alsa-firmware 1.0.29-1
alsa-lib 1.1.6-1
alsa-plugins 1.1.6-1
alsa-utils 1.1.6-1
appstream-glib 0.7.4-1
apr 1.6.3-1
apr-util 1.6.1-2
arandr 0.1.9-2
archlinux-appstream-data 20180318-1
archlinux-keyring 20180404-1
argon2 20171227-3
artwork-i3 20180123-1
aspell 0.60.6.1-5
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7+4+gd8d8c67-1
b43-fwcutter 019-1
babl 0.1.44-2
bash 4.4.019-1
bc 1.07.1-1
binutils 2.29.1-3
bison 3.0.4-3
blueman 2.0.5-1
bluez 5.49-3
bluez-libs 5.49-3
bmenu 0.5-3
brandr 0.2-3
brotli 1.0.3-1
btrfs-progs 4.16-1
bzip2 1.0.6-7
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.36-1
ca-certificates-utils 20170307-1
cairo 1.15.12-1
cairomm 1.12.2-2
cantarell-fonts 1:0.101-1
cdparanoia 10.2-5
celt 0.11.3-3
chromaprint 1.4.3-1
cifs-utils 6.7-2
ckbcomp 1.175-1
clipit 1.4.3-2
compton 0.1_beta2.5-10
confuse 3.2.1-1
conky 1.10.8-2
conky-i3 20180109-1
coreutils 8.29-1
cpupower 4.16-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 2.0.2-1
cups 2.2.7-1
cups-filters 1.20.3-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-1
curl 7.59.0-2
daala 0.0.r1696.g7278368-1
db 5.3.28-3
dbus 1.12.6-1
dbus-glib 0.110-1
dconf 0.28.0-1
desktop-file-utils 0.23-1
device-mapper 2.02.177-5
dfc 3.1.1-1
dhclient 4.4.1-4
dhcpcd 7.0.1-1
diffutils 3.6-1
ding-libs 0.6.1-1
dmenu-manjaro 4.8-1
dmidecode 3.1-2
dmraid 1.0.0.rc16.3-10
dnsmasq 2.79-1
dnssec-anchors 20170711-1
dosfstools 4.1-1
double-conversion 3.0.0-1
downgrade 6.0.0-1
dunst 1.3.1-1
e2fsprogs 1.44.1-1
ecryptfs-utils 111-2
efibootmgr 15-1
efivar 34-1
enchant 2.2.3-1
epdfview 0.1.8-8
exfat-utils 1.2.8-1
exiv2 0.26-2
exo 0.12.0-1
expac 8-1
expat 2.2.5-1
f2fs-tools 1.10.0-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.22-1
ffmpeg 1:3.4.2-2
ffmpegthumbnailer 2.2.0-1
fftw 3.3.7-1
file 5.32-1
filesystem 2017.06-4.5
findutils 4.6.0-2
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.13.0+10+g58f5285-1
foomatic-db-engine 4:4.0.13-1
freeglut 3.0.0-2
freetype2 2.9-2
fribidi 1.0.2-1
fuse-common 3.2.2-2
fuse2 2.9.7-4
fuseiso 20070708-6
fzf 0.17.3-1
gawk 4.2.1-1
gc 7.6.4-1
gcab 1.0+2+gc0947f6-1
gcc 7.3.1+20180312-2
gcc-libs 7.3.1+20180312-2
gcolor2 0.4-7
gconf 3.2.6-5
gcr 3.28.0-1
gd 2.2.5-1
gdbm 1.14.1-1
gdk-pixbuf2 2.36.12-1
gegl02 0.2.0-8
geoclue2 2.4.7-1
gettext 0.19.8.1-2
ghostscript 9.23-1
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.22-1
git 2.17.0-1
gksu 2.0.2-6
glew 2.1.0-1
glib-networking 2.56.0-1
glib2 2.56.1-1
glibc 2.26-11
glibmm 2.56.0-1
glu 9.0.0-4
gmp 6.1.2-1
gnome-keyring 1:3.28.0.2-1
gnupg 2.2.6-1
gnutls 3.5.18-1
gobject-introspection-runtime 1.56.0-1
gparted 0.31.0-1
gpgme 1.10.0-2
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphene 1.8.0-1
graphite 1:1.3.11-1
grep 3.1-1
groff 1.22.3-7
grub 2.03.0-5
gsettings-desktop-schemas 3.28.0+1+g85521dc-1
gsfonts 20170829-1
gsm 1.0.17-1
gssproxy 0.8.0-1
gst-libav 1.14.0-1
gst-plugins-bad 1.14.0-2
gst-plugins-base 1.14.0-1
gst-plugins-base-libs 1.14.0-1
gst-plugins-good 1.14.0-1
gst-plugins-ugly 1.14.0-1
gstreamer 1.14.0-1
gtk-engine-murrine 0.98.2-3
gtk-update-icon-cache 3.22.29+86+gd92df4ff2c-1
gtk2 2.24.32-1
gtk3-classic 3.22.29-2
gtkmm 2.24.5-2
gtksourceview-pkgbuild 3-2
gtksourceview2 2.10.5-3
gtksourceview3 3.24.7-1
gufw 18.04.0-1
guile 2.2.3-1
gutenprint 5.2.13-1
gvfs 1.36.1-1
gvfs-afc 1.36.1-1
gvfs-gphoto2 1.36.1-1
gvfs-mtp 1.36.1-1
gvfs-smb 1.36.1-1
gzip 1.9-1
harfbuzz 1.7.6-2
harfbuzz-icu 1.7.6-2
haveged 1.9.1-4
hdparm 9.56-1
hexchat 2.14.1-2
hicolor-icon-theme 0.17-1
hplip 3.18.3-2
hspell 1.4-1
htop 2.2.0-2
hunspell 1.6.2-1
hwids 20171003-1
hwinfo 21.52-1
hyphen 2.8.8-1
i3-default-artwork 20180109-1
i3-gaps 4.15.0.1-2
i3-help 20180110-1
i3-scripts 20180114-1
i3-scrot 1.1-1
i3exit 20170616-1
i3lock 2.10-1
i3status-manjaro 2.11-3
iana-etc 20180221-1
icu 61.1-1
ijs 0.35-1
ilmbase 2.2.1-1
imagemagick 7.0.7.28-1
imlib2 1.5.1-1
inetutils 1.9.4-5
intel-ucode 20180312-0
inxi 3.0.00-1
iproute2 4.16.0-1
iptables 1.6.2-2
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.76-1
isousb 1.5-2
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
jbig2dec 0.14-1
jfsutils 1.1.15-4
js 24.2.0-4
json-c 0.13-1
json-glib 1.4.2-2
kauth 5.44.0-1
kbd 2.0.4-1
kcoreaddons 5.44.0-1
keyutils 1.5.10-1
kitemmodels 5.44.0-1
kmod 24-1
krb5 1.16-1
kvantum-manjaro 0.10.5-3
kvantum-qt5 0.10.6-1
ladspa 1.13-6
lame 3.100-1
lcms 1.19-7
